item,SCO/NCO,gendermatch?,sentence,,,,,,,,
1,SCO,Match,Jane asked which maintenance man at the boarding school Donna had said that he already spoke with about the foodfight.,,,,,,,,
1,SCO,Mismatch,Jane asked which lunch lady at the boarding school Donna had said that he already spoke with about the foodfight.,,,,,,,,
1,NCO,Match,Jane asked which maintenance man at the boarding school had said that he already spoke with Jim about the foodfight.,,,,,,,,
1,NCO,Mismatch,Jane asked which lunch lady at the boarding school had said that he already spoke with Jim about the foodfight.,,,,,,,,
2,SCO,Match,Mary knew which policeman at the scene Hailey had claimed that he quickly talked to after the boating accident.,,,,,,,,
2,SCO,Mismatch,Mary knew which policewoman at the scene Hailey had claimed that he quickly talked to after the boating accident.,,,,,,,,
2,NCO,Match,Mary knew which policeman at the scene had claimed that he quickly talked to Martin after the boating accident.,,,,,,,,
2,NCO,Mismatch,Mary knew which policewoman at the scene had claimed that he quickly talked to Martin after the boating accident.,,,,,,,,some sentences have periods
3,SCO,Match,Christina remembered which fireman from the PTA Diane had claimed that he gladly worked with during the heatwave,,,,,,,,some do not
3,SCO,Mismatch,Christina remembered which mother from the PTA Diane had claimed that he gladly worked with during the heatwave,,,,,,,,
3,NCO,Match,Christina remembered which fireman from the PTA had claimed that he gladly worked with John during the heatwave,,,,,,,,
3,NCO,Mismatch,Christina remembered which mother from the PTA had claimed that he gladly worked with John during the heatwave,,,,,,,,
4,SCO,Match,Olivia said which doctor in the crowded ward Kaitlyn had thought that he already spoke with about the diagnosis,,,,,,,,
4,SCO,Mismatch,Olivia said which midwife in the crowded ward Kaitlyn had thought that he already spoke with about the diagnosis,,,,,,,,
4,NCO,Match,Olivia said which doctor in the crowded ward had thought that he already spoke with Jeff about the diagnosis,,,,,,,,
4,NCO,Mismatch,Olivia said which midwife in the crowded ward had thought that he already spoke with Jeff about the diagnosis,,,,,,,,
5,SCO,Match,Jessica asked which cowboy from the new hires Theresa had admitted that he actually slept with on the ranch,,,,,,,,
5,SCO,Mismatch,Jessica asked which cowgirl from the new hires Theresa had admitted that he actually slept with on the ranch,,,,,,,,
5,NCO,Match,Jessica asked which cowboy from the new hires had admitted that he actually slept with James on the ranch,,,,,,,,
5,NCO,Mismatch,Jessica asked which cowgirl from the new hires had admitted that he actually slept with James on the ranch,,,,,,,,
6,SCO,Match,Ashley wondered which gangster in the line-up Susanne had said that he definitely had seen in the alleyway,,,,,,,,
6,SCO,Mismatch,Ashley wondered which prostitute in the line-up Susanne had said that he definitely had seen in the alleyway,,,,,,,,
6,NCO,Match,Ashley wondered which gangster in the line-up had said that he definitely had seen Daniel in the alleyway,,,,,,,,
6,NCO,Mismatch,Ashley wondered which prostitute in the line-up had said that he definitely had seen Daniel in the alleyway,,,,,,,,
7,SCO,Match,Emily knew which judge at the trial Eve had said that he quietly argued with outside the courtroom,,,,,,,,
7,SCO,Mismatch,Emily knew which typist at the trial Eve had said that he quietly argued with outside the courtroom,,,,,,,,
7,NCO,Match,Emily knew which judge at the trial had said that he quietly argued with Robert outside the courtroom,,,,,,,,
7,NCO,Mismatch,Emily knew which typist at the trial had said that he quietly argued with Robert outside the courtroom,,,,,,,,
